Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Aa en Hunze,1680,Drenthe,"25,579",93/km2 (240/sq mi),276.66 km2 (106.82 sq mi)
Aalsmeer,358,North Holland,"32,452","1,615/km2 (4,180/sq mi)",20.0 km2 (7.72 sq mi)
Aalten,197,Gelderland,"27,100",281/km2 (730/sq mi),96.63 km2 (37.31 sq mi)
Achtkarspelen,59,Friesland,"27,954",274/km2 (710/sq mi),102.21 km2 (39.46 sq mi)
Alblasserdam,482,South Holland,"20,087","2,290/km2 (5,900/sq mi)",8.87 km2 (3.42 sq mi)
Albrandswaard,613,South Holland,"25,934","1,197/km2 (3,100/sq mi)",21.17 km2 (8.17 sq mi)
Alkmaar,361,North Holland,"110,783","1,004/km2 (2,600/sq mi)",110.01 km2 (42.48 sq mi)
Almelo,141,Overijssel,"73,155","1,089/km2 (2,820/sq mi)",67.78 km2 (26.17 sq mi)
Almere,34,Flevoland,"217,828","1,686/km2 (4,370/sq mi)",129.98 km2 (50.19 sq mi)
Alphen aan den Rijn,484,South Holland,"112,926","897/km2 (2,320/sq mi)",125.53 km2 (48.47 sq mi)
Alphen-Chaam,1723,North Brabant,"10,425",112/km2 (290/sq mi),92.28 km2 (35.63 sq mi)
Altena,1959,North Brabant,"57,009",285/km2 (740/sq mi),199.94 km2 (77.20 sq mi)
Ameland,60,Friesland,"3,757",66/km2 (170/sq mi),56.69 km2 (21.89 sq mi)
Amersfoort,307,Utrecht,"158,590","2,538/km2 (6,570/sq mi)",62.29 km2 (24.05 sq mi)
Amstelveen,362,North Holland,"92,331","2,246/km2 (5,820/sq mi)",41.11 km2 (15.87 sq mi)
Amsterdam,363,North Holland,"903,399[e]","4,812/km2 (12,460/sq mi)[e]",187.72 km2 (72.48 sq mi)[e]
Apeldoorn,200,Gelderland,"165,611","487/km2 (1,260/sq mi)",339.96 km2 (131.26 sq mi)
Arnhem,202,Gelderland,"163,888","1,677/km2 (4,340/sq mi)",97.74 km2 (37.74 sq mi)
Assen,106,Drenthe,"68,979","842/km2 (2,180/sq mi)",81.18 km2 (31.34 sq mi)
Asten,743,North Brabant,"17,068",243/km2 (630/sq mi),70.01 km2 (27.03 sq mi)
Baarle-Nassau,744,North Brabant,"6,931",91/km2 (240/sq mi),76.62 km2 (29.58 sq mi)
Baarn,308,Utrecht,"24,876","764/km2 (1,980/sq mi)",32.24 km2 (12.45 sq mi)
Barendrecht,489,South Holland,"48,714","2,488/km2 (6,440/sq mi)",19.98 km2 (7.71 sq mi)
Barneveld,203,Gelderland,"60,584",345/km2 (890/sq mi),175.54 km2 (67.78 sq mi)
Beek,888,Limburg,"15,817","751/km2 (1,950/sq mi)",21.17 km2 (8.17 sq mi)
Beekdaelen,1954,Limburg,"35,922","459/km2 (1,190/sq mi)",78.8 km2 (30.42 sq mi)
Beesel,889,Limburg,"13,408","481/km2 (1,250/sq mi)",27.78 km2 (10.73 sq mi)
Berg en Dal,1945,Gelderland,"34,951","405/km2 (1,050/sq mi)",86.69 km2 (33.47 sq mi)
Bergeijk,1724,North Brabant,"18,879",187/km2 (480/sq mi),101.12 km2 (39.04 sq mi)
Bergen (LI),893,Limburg,"13,106",127/km2 (330/sq mi),103.36 km2 (39.91 sq mi)
Bergen (NH),373,North Holland,"29,723",300/km2 (780/sq mi),99 km2 (38.22 sq mi)
Bergen op Zoom,748,North Brabant,"67,894","849/km2 (2,200/sq mi)",79.97 km2 (30.88 sq mi)
Berkelland,1859,Gelderland,"43,850",170/km2 (440/sq mi),258.89 km2 (99.96 sq mi)
Bernheze,1721,North Brabant,"31,715",353/km2 (910/sq mi),89.93 km2 (34.72 sq mi)
Best,753,North Brabant,"30,608","903/km2 (2,340/sq mi)",33.39 km2 (12.89 sq mi)
Beuningen,209,Gelderland,"26,235","602/km2 (1,560/sq mi)",43.3 km2 (16.72 sq mi)
Beverwijk,375,North Holland,"42,084","2,293/km2 (5,940/sq mi)",18.85 km2 (7.28 sq mi)
Bladel,1728,North Brabant,"20,718",275/km2 (710/sq mi),75.53 km2 (29.16 sq mi)
Blaricum,376,North Holland,"12,359","1,116/km2 (2,890/sq mi)",11.17 km2 (4.31 sq mi)
Bloemendaal,377,North Holland,"23,732","597/km2 (1,550/sq mi)",39.97 km2 (15.43 sq mi)
Bodegraven-Reeuwijk,1901,South Holland,"35,752","474/km2 (1,230/sq mi)",75.5 km2 (29.15 sq mi)
Boekel,755,North Brabant,"11,030",320/km2 (830/sq mi),34.4 km2 (13.28 sq mi)
Borger-Odoorn,1681,Drenthe,"25,681",93/km2 (240/sq mi),274.49 km2 (105.98 sq mi)
Borne,147,Overijssel,"24,007","924/km2 (2,390/sq mi)",25.59 km2 (9.88 sq mi)
Borsele,654,Zeeland,"22,847",161/km2 (420/sq mi),141.17 km2 (54.51 sq mi)
Boxtel,757,North Brabant,"33,129","480/km2 (1,200/sq mi)",69.91 km2 (26.99 sq mi)
Breda,758,North Brabant,"184,702","1,469/km2 (3,800/sq mi)",125.59 km2 (48.49 sq mi)
Bronckhorst,1876,Gelderland,"36,077",127/km2 (330/sq mi),283.33 km2 (109.39 sq mi)
Brummen,213,Gelderland,"20,890",250/km2 (650/sq mi),83.33 km2 (32.17 sq mi)
Brunssum,899,Limburg,"27,674","1,605/km2 (4,160/sq mi)",17.74 km2 (6.85 sq mi)
Bunnik,312,Utrecht,"15,590","422/km2 (1,090/sq mi)",36.63 km2 (14.14 sq mi)
Bunschoten,313,Utrecht,"22,325","735/km2 (1,900/sq mi)",30.09 km2 (11.62 sq mi)
Buren,214,Gelderland,"27,155",203/km2 (530/sq mi),133.3 km2 (51.47 sq mi)
Capelle aan den IJssel,502,South Holland,"67,188","4,751/km2 (12,310/sq mi)",14.44 km2 (5.58 sq mi)
Castricum,383,North Holland,"36,263","730/km2 (1,900/sq mi)",49.94 km2 (19.28 sq mi)
Coevorden,109,Drenthe,"35,517",120/km2 (310/sq mi),296.61 km2 (114.52 sq mi)
Cranendonck,1706,North Brabant,"20,669",270/km2 (700/sq mi),76.6 km2 (29.58 sq mi)
Culemborg,216,Gelderland,"29,397","1,004/km2 (2,600/sq mi)",29.97 km2 (11.57 sq mi)
Dalfsen,148,Overijssel,"29,162",177/km2 (460/sq mi),165.52 km2 (63.91 sq mi)
Dantumadiel,1891,Friesland,"18,957",224/km2 (580/sq mi),84.4 km2 (32.59 sq mi)
De Bilt,310,Utrecht,"43,508","657/km2 (1,700/sq mi)",66.69 km2 (25.75 sq mi)
De Fryske Marren,1940,Friesland,"51,597",147/km2 (380/sq mi),351.11 km2 (135.56 sq mi)
De Ronde Venen,736,Utrecht,"44,955","451/km2 (1,170/sq mi)",99.98 km2 (38.60 sq mi)
